accuracy,activity_confidence,average_dip,average_rake,catalog_id,catalog_name,dip_dir,downthrown_side_dir,downthrown_side_id,epistemic_quality,exposure_quality,fs_name,last_movement,lower_seis_depth,name,net_slip_rate,notes,reference,shortening_rate,slip_type,strike_slip_rate,upper_seis_depth,vert_sep_rate
,,"(38,,)","(90.0,,)",UCF_2,UCERF3,E,,,,,,,"(16.0,,)",Mount Diablo Thrust,"(1.55,0.8,2.22)",,,,Reverse,,"(8.0,,)",
,,"(90,,)","(180.0,,)",UCF_9,UCERF3,,,,,,,,"(11.0,,)",Ortigalita (South),"(1.23,0.35,2.75)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(150.0,,)",UCF_11,UCERF3,,,,,,,,"(14.0,,)",Monterey Bay-Tularcitos,"(0.57,0.23,1.73)",,,,Dextral,,"(0.0,,)",
,,"(90,,)","(180.0,,)",UCF_13,UCERF3,,,,,,,,"(10.0,,)",Mendocino,"(8.95,4.44,12.97)",,,,Dextral,,"(0.0,,)",
,,"(45,,)","(90.0,,)",UCF_15,UCERF3,NE,,,,,,,"(13.0,,)",Table Bluff,"(0.82,0.51,1.42)",,,,Reverse,,"(0.0,,)",
,,"(30,,)","(90.0,,)",UCF_16,UCERF3,NE,,,,,,,"(13.0,,)",Little Salmon (Offshore),"(2.01,0.68,6.94)",,,,Reverse,,"(0.0,,)",
,,"(30,,)","(90.0,,)",UCF_17,UCERF3,NE,,,,,,,"(13.0,,)",Little Salmon (Onshore),"(3.51,0.75,6.25)",,,,Reverse,,"(0.0,,)",
,,"(35,,)","(90.0,,)",UCF_19,UCERF3,NE,,,,,,,"(13.0,,)",Trinidad (alt1),"(1.49,0.88,1.93)",,,,Reverse,,"(0.0,,)",
,,"(35,,)","(90.0,,)",UCF_20,UCERF3,NE,,,,,,,"(13.0,,)",Fickle Hill (alt1),"(0.57,0.39,0.71)",,,,Reverse,,"(0.0,,)",
,,"(35,,)","(90.0,,)",UCF_21,UCERF3,NE,,,,,,,"(13.0,,)",McKinleyville (alt1),"(0.59,0.43,0.76)",,,,Reverse,,"(0.0,,)",
